word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0xC71C,2,329,2.2,152.5,329,53,110,Transcription,3.02,4.6555518537377603e-11,33,1,Transcription(3.02x)
0x44D6,2,195,1.5,127.9,195,44,99,Transcription,4.63,6.667329890718963e-27,42,1,Transcription(4.63x)
0x3726,2,485,5.8,83.5,485,41,274,Transcription,4.62,6.9204673446296035e-25,39,1,Transcription(4.62x)
0x0BD4,2,162,2.1,78.5,162,50,99,Transcription,4.76,6.13906827484002e-33,49,1,Transcription(4.76x)
0xB11B,2,152,2.3,64.7,152,14,84,Transcription,4.51,1.3216084022982544e-08,13,1,Transcription(4.51x)
0xE79E,2,414,6.8,60.8,414,57,173,RNA processing,5.72,2.5262102898937943e-06,11,2,RNA processing(5.72x); Nuc acid bind(2.65x)
0xCB2C,2,1546,25.5,60.6,1546,176,308,Chromatin,5.11,1.469996987773523e-14,32,2,Chromatin(5.11x); Transcription(2.76x)
0xC4DA,2,372,6.6,56.0,372,92,180,Transcription,4.86,1.5303675260861515e-64,92,1,Transcription(4.86x)
0xC46E,2,160,3.2,50.8,160,43,93,Transcription,4.86,2.2218420682989772e-30,43,1,Transcription(4.86x)
0x4426,2,71,1.5,48.1,71,27,46,Transcription,4.86,2.6037862656508623e-19,27,1,Transcription(4.86x)
0xF7DF,2,2141,46.8,45.8,2141,219,492,Cytoskeleton,3.58,7.012602797267746e-05,13,3,Cytoskeleton(3.58x); RNA processing(3.11x); Nuc acid bind(2.3x)
0x0B9F,2,220,4.9,45.1,220,12,193,Ubiquitin,8.72,0.0008165331934343606,4,2,Ubiquitin(8.72x); RNA processing(7.41x)
0xF56F,2,605,13.5,44.7,605,87,191,Chromatin,3.88,5.460866266254045e-05,12,2,Chromatin(3.88x); Transcription(1.67x)
0x6690,2,386,9.8,39.5,386,111,223,Transcription,4.59,6.918735218691673e-65,105,1,Transcription(4.59x)
0x54D6,2,162,4.2,38.1,162,39,89,Transcription,4.73,2.02098599597909e-25,38,1,Transcription(4.73x)
0x71C7,2,497,13.1,37.8,497,75,137,Transcription,3.04,2.4337224293663005e-15,47,2,Transcription(3.04x); Chromatin(3.0x)
0x3713,2,238,6.3,37.8,238,38,114,Transcription,2.3,0.00019570850912650336,18,1,Transcription(2.3x)
0x0563,2,177,4.8,36.7,177,30,73,Unclassified,0,1.0,0,0,
0x34D3,2,596,17.6,33.9,596,51,129,Cell adhesion,4.9,1.0219858840802753e-05,11,1,Cell adhesion(4.9x)
0x8B98,2,837,25.1,33.3,837,113,263,Cytoskeleton,4.27,0.0005666334121786575,8,4,Cytoskeleton(4.27x); RNA processing(3.93x); Nuc acid bind(2.23x); Kinase(1.89x)
0xE5DE,2,492,15.1,32.6,492,84,192,RNA processing,12.7,2.8968152437665202e-31,36,2,RNA processing(12.7x); Nuc acid bind(5.16x)
0x0453,2,129,4.0,32.4,129,20,48,Unclassified,0,1.0,0,0,
0xF42F,2,248,7.8,31.9,248,29,84,Unclassified,0,1.0,0,0,
0xE56E,2,385,12.2,31.6,385,23,95,Unclassified,0,1.0,0,0,
0x0B90,2,366,11.6,31.5,366,61,145,Chromatin,4.15,0.0002782293968203722,9,2,Chromatin(4.15x); DNA repair(3.3x)
0x069C,2,157,5.1,30.9,157,15,42,Cell adhesion,6.06,0.0034253237667307883,4,1,Cell adhesion(6.06x)
0x8B9E,2,250,8.4,29.9,250,31,84,Cytoskeleton,7.78,0.001619073478730144,4,1,Cytoskeleton(7.78x)
0xE45C,2,316,10.6,29.8,316,71,164,Transcription,4.65,2.7352634207532123e-43,68,1,Transcription(4.65x)
0xF69F,2,310,10.4,29.7,310,39,111,Cell adhesion,4.08,0.0013773012609997102,7,2,Cell adhesion(4.08x); Kinase(2.74x)
0x0693,2,77,2.6,29.7,77,16,33,Cell adhesion,5.68,0.004410320388517912,4,1,Cell adhesion(5.68x)
0xA69A,2,617,20.9,29.5,617,130,219,Nuc acid bind,3.49,1.337637138332615e-14,45,2,Nuc acid bind(3.49x); RNA processing(2.51x)
0xE62E,2,631,22.0,28.7,631,81,177,RNA processing,5.86,9.142088467712643e-09,16,2,RNA processing(5.86x); Nuc acid bind(3.11x)
0x8968,2,1752,61.2,28.6,1752,150,541,Cytoskeleton,3.62,0.0008635737686896866,9,3,Cytoskeleton(3.62x); Cell cycle(3.12x); Structural(2.77x)
0x8798,2,310,11.0,28.3,310,62,122,Cell adhesion,12.47,2.5355991705835344e-30,34,3,Cell adhesion(12.47x); RNA processing(4.78x); Nuc acid bind(2.11x)
0x3563,2,390,13.9,28.1,390,44,144,Cell adhesion,3.62,0.0028399969462461015,7,1,Cell adhesion(3.62x)
0xF553,2,370,13.3,27.8,370,46,206,Transcription,4.64,2.9971043708770017e-28,44,1,Transcription(4.64x)
0xB2CB,2,670,24.7,27.1,670,89,155,Chromatin,3.48,0.0003001832476844826,11,2,Chromatin(3.48x); Transcription(3.0x)
0xF65F,2,345,12.8,26.9,345,41,101,Unclassified,0,1.0,0,0,
0xE61E,2,169,6.3,26.8,169,28,59,RNA processing,10.59,1.2836614312083698e-08,10,2,RNA processing(10.59x); Nuc acid bind(5.04x)
0x356F,2,456,17.2,26.5,456,54,132,Unclassified,0,1.0,0,0,
0xC96C,2,571,21.8,26.2,571,56,163,Cytoskeleton,5.39,0.002281556757102555,5,2,Cytoskeleton(5.39x); Transcription(2.17x)
0x8726,2,60,2.3,26.0,60,11,26,Transcription,4.41,1.2087822928564743e-06,10,1,Transcription(4.41x)
0xA79A,2,213,8.4,25.4,213,58,92,Nuc acid bind,6.43,1.754137825774634e-23,37,2,Nuc acid bind(6.43x); RNA processing(5.62x)
0xE56C,2,704,28.1,25.0,704,64,191,Chromatin,3.08,0.007383073121413281,7,1,Chromatin(3.08x)
0xE790,2,324,13.0,24.9,324,44,119,Unclassified,0,1.0,0,0,
0x0820,2,1330,53.6,24.8,1330,190,460,Chromatin,4.74,1.3681681000034604e-13,32,2,Chromatin(4.74x); Nuc acid bind(1.86x)
0x0610,2,157,6.4,24.7,157,49,60,Cell adhesion,17.63,1.1615452237436022e-42,38,1,Cell adhesion(17.63x)
0xE42E,2,318,13.1,24.3,318,43,113,Chromatin,3.92,0.0038865974355795246,6,1,Chromatin(3.92x)
0xE79C,2,169,7.3,23.0,169,25,67,Cell cycle,7.2,0.0005389015044421495,5,2,Cell cycle(7.2x); RNA processing(4.74x)
0x8B9F,2,154,6.7,22.9,154,33,61,Transcription,4.27,1.8420054139889838e-16,29,1,Transcription(4.27x)
0xA793,2,65,2.8,22.9,65,12,27,Unclassified,0,1.0,0,0,
0xB56C,2,717,31.9,22.5,717,81,234,Chromatin,3.47,0.0005662129961477212,10,1,Chromatin(3.47x)
0xB56E,2,309,13.8,22.4,309,51,112,Unclassified,0,1.0,0,0,
0xA45F,2,148,6.7,22.2,148,21,69,RNA processing,16.94,4.039212439238105e-13,12,2,RNA processing(16.94x); Ubiquitin(14.94x)
0x4450,2,113,5.2,21.9,113,16,35,Phosphatase,12.54,0.0015912477529394546,3,1,Phosphatase(12.54x)
0x8618,2,1035,47.2,21.9,1035,176,396,Chromatin,3.52,2.6747106188814516e-07,22,4,Chromatin(3.52x); Cell cycle(2.86x); Nuc acid bind(2.23x); RNA processing(2.19x)
0x896E,2,313,14.4,21.8,313,36,111,DNA repair,3.99,0.007693080002396175,5,1,DNA repair(3.99x)
0x882F,2,406,18.7,21.7,406,100,210,Transcription,4.32,2.460541825312993e-49,89,1,Transcription(4.32x)
0x3453,2,193,8.9,21.6,193,20,47,Cell adhesion,13.64,4.16976984516225e-12,12,1,Cell adhesion(13.64x)
0x0B9E,2,131,6.1,21.5,131,21,50,Unclassified,0,1.0,0,0,
0xF69B,2,213,10.0,21.4,213,15,72,Cell cycle,7.2,0.007544323157414654,3,2,Cell cycle(7.2x); Transcription(2.59x)
0xBD44,2,142,6.6,21.4,142,46,93,Transcription,4.75,3.365258118434541e-30,45,1,Transcription(4.75x)
0x0410,2,105,5.0,21.2,105,10,44,Unclassified,0,1.0,0,0,
0x2CB2,2,2126,101.3,21.0,2126,246,491,Chromatin,3.09,1.7713040208872511e-07,27,2,Chromatin(3.09x); Transcription(2.33x)
0x0560,2,368,17.7,20.8,368,59,135,Transcription,3.13,3.285516638283611e-13,38,1,Transcription(3.13x)
0xB7DF,2,481,23.6,20.4,481,54,134,Unclassified,0,1.0,0,0,
0x8A28,2,5858,288.1,20.3,5858,570,1509,Chromatin,3.65,2.667719749185035e-23,74,4,Chromatin(3.65x); Cytoskeleton(2.43x); Protein folding(2.0x); DNA repair(1.92x)
0xC99A,2,276,13.6,20.3,276,73,152,Transcription,4.86,3.0117263172188293e-51,73,1,Transcription(4.86x)
0xB56B,2,286,14.2,20.2,286,50,115,Ion channel,3.37,0.00030231155694729616,11,2,Ion channel(3.37x); Transport(2.58x)
0x896C,2,670,33.2,20.2,670,69,228,Cytoskeleton,4.37,0.00565058841838097,5,1,Cytoskeleton(4.37x)
0xC56F,2,68,3.4,20.2,68,10,23,Nuc acid bind,6.05,0.00013880527616523481,6,1,Nuc acid bind(6.05x)
0xC56C,2,160,8.0,20.1,160,31,65,Unclassified,0,1.0,0,0,
0x75D7,2,6155,310.0,19.9,6155,712,1573,Chromatin,2.37,2.1646058023374666e-10,60,3,Chromatin(2.37x); Cytoskeleton(2.37x); Transcription(1.6x)
0x6626,2,64,3.2,19.8,64,10,20,Cell adhesion,13.64,1.2674176168844425e-06,6,1,Cell adhesion(13.64x)
0xF72F,2,333,17.0,19.6,333,38,82,Chromatin,4.44,0.0020427480908271492,6,1,Chromatin(4.44x)
0xF42A,2,128,6.6,19.4,128,13,37,Cell adhesion,8.74,0.00015466485262071253,5,2,Cell adhesion(8.74x); Chromatin(6.49x)
0x3653,2,396,20.5,19.3,396,41,104,Cell adhesion,8.32,7.884857039498926e-11,15,1,Cell adhesion(8.32x)
0xB6DB,2,982,51.5,19.1,982,148,286,RNA processing,3.61,2.3442901872990245e-06,18,3,RNA processing(3.61x); Nuc acid bind(2.72x); Transcription(1.84x)
0x711B,2,298,15.8,18.9,298,66,169,Transcription,4.86,2.2980456574226298e-46,66,1,Transcription(4.86x)
0xC968,2,755,40.1,18.8,755,76,214,Cytoskeleton,5.56,0.0002547904386031282,7,2,Cytoskeleton(5.56x); Kinase(2.46x)
0x1CB1,2,167,8.9,18.8,167,10,78,Transcription,2.91,0.007386187901020373,6,1,Transcription(2.91x)
0x9171,2,575,31.1,18.5,575,102,318,Transcription,4.47,2.301164149093504e-55,94,1,Transcription(4.47x)
0xF56C,2,589,32.1,18.4,589,75,151,Unclassified,0,1.0,0,0,
0x1C71,2,477,26.0,18.3,477,66,143,Transcription,3.09,3.439401130011214e-14,42,1,Transcription(3.09x)
0xC56E,2,63,3.5,18.3,63,19,35,Transcription,4.34,2.285371931062809e-10,17,1,Transcription(4.34x)
0x0968,2,819,44.9,18.2,819,83,250,Chromatin,3.73,0.00016049835245386052,11,2,Chromatin(3.73x); Cell cycle(3.47x)
0xA427,2,336,18.5,18.2,336,76,184,Transcription,4.34,2.9962352513653993e-38,68,1,Transcription(4.34x)
0xB563,2,196,10.9,18.1,196,33,68,Unclassified,0,1.0,0,0,
0x879F,2,53,2.9,18.1,53,11,14,Unclassified,0,1.0,0,0,
0xC56B,2,64,3.5,18.1,64,10,22,Signaling,3.03,0.005976852913887896,6,1,Signaling(3.03x)
0xB56F,2,243,13.5,18.0,243,22,66,Cytoskeleton,8.22,0.005471202351967714,3,1,Cytoskeleton(8.22x)
0xF45F,2,89,5.0,17.8,89,11,27,Kinase,4.85,0.00674401884179422,4,1,Kinase(4.85x)
0x1B91,2,288,16.3,17.7,288,42,164,Transcription,4.62,1.4747855218857836e-25,40,1,Transcription(4.62x)
0x0960,2,536,30.4,17.6,536,76,223,Cytoskeleton,4.76,0.0015956555240382328,6,4,Cytoskeleton(4.76x); Cell cycle(4.26x); Chromatin(4.07x); DNA repair(3.03x)
0xB72F,2,151,8.6,17.6,151,15,28,Unclassified,0,1.0,0,0,
0x8960,2,724,41.4,17.5,724,98,264,Cell cycle,4.04,8.269107128328098e-05,11,2,Cell cycle(4.04x); Cytoskeleton(3.69x)
0xE798,2,358,20.4,17.5,358,47,114,DNA repair,3.67,0.0054744852096908795,6,1,DNA repair(3.67x)
0x8B9B,2,110,6.4,17.1,110,14,42,Cytoskeleton,17.23,6.41737399213045e-05,4,1,Cytoskeleton(17.23x)
0xC4DC,2,136,8.0,16.9,136,16,58,Unclassified,0,1.0,0,0,
0xCA25,2,692,41.3,16.8,692,45,206,Chromatin,3.75,0.004892952554362177,6,1,Chromatin(3.75x)
0x356B,2,304,18.1,16.8,304,41,90,Unclassified,0,1.0,0,0,
0x0B9C,2,110,6.6,16.8,110,27,60,Cytoskeleton,6.7,0.009781805168335976,3,2,Cytoskeleton(6.7x); Transcription(3.42x)
0x3698,2,937,56.9,16.5,937,167,478,Transcription,3.69,3.588827130376721e-54,127,1,Transcription(3.69x)
0x896B,2,242,14.8,16.4,242,30,107,Nuc acid bind,3.36,0.00041566670232251224,10,1,Nuc acid bind(3.36x)
0x8B90,2,262,16.0,16.4,262,35,101,Cytoskeleton,6.89,0.0025591325500306213,4,1,Cytoskeleton(6.89x)
0xE79B,2,85,5.2,16.3,85,16,38,Unclassified,0,1.0,0,0,
0xC96F,2,149,9.2,16.2,149,17,32,Transcription,2.57,0.0031688689493179815,9,1,Transcription(2.57x)
0xA423,2,142,8.8,16.1,142,26,55,Transcription,2.24,0.0030027640961971945,12,1,Transcription(2.24x)
0x356E,2,285,17.6,16.1,285,42,103,Cell adhesion,8.12,1.177638058358962e-10,15,1,Cell adhesion(8.12x)
0xC72C,2,114,7.1,16.0,114,18,29,Transcription,3.51,3.48546576865268e-06,13,1,Transcription(3.51x)
0x096C,2,390,24.4,16.0,390,51,129,Cytoskeleton,4.73,0.00995312044428206,4,1,Cytoskeleton(4.73x)
0xE69E,2,177,11.1,16.0,177,39,75,Nuc acid bind,6.46,2.4051198616536817e-16,25,2,Nuc acid bind(6.46x); RNA processing(4.56x)
0x8821,2,342,21.5,15.9,342,46,121,GTPase,5.87,5.079388341503016e-07,12,1,GTPase(5.87x)
0xB560,2,631,39.8,15.9,631,99,233,Unclassified,0,1.0,0,0,
0xC7DC,2,98,6.3,15.7,98,15,36,Unclassified,0,1.0,0,0,
0x779E,2,352,22.5,15.6,352,57,121,DNA repair,4.03,0.000738890879848613,8,3,DNA repair(4.03x); RNA processing(3.64x); Nuc acid bind(2.65x)
0xC560,2,155,9.9,15.6,155,35,77,Transcription,3.33,1.1658155054205967e-09,24,1,Transcription(3.33x)
0x096E,2,164,10.6,15.5,164,27,79,Cytoskeleton,6.7,0.009781805168335976,3,2,Cytoskeleton(6.7x); Nuc acid bind(2.99x)
0xC690,2,59,3.9,15.3,59,11,19,Unclassified,0,1.0,0,0,
0xA79E,2,79,5.2,15.3,79,16,38,Unclassified,0,1.0,0,0,
0xE563,2,146,9.6,15.2,146,20,50,Unclassified,0,1.0,0,0,
0xE56B,2,190,12.5,15.2,190,28,68,Unclassified,0,1.0,0,0,
0x6CB2,2,721,47.9,15.1,721,86,204,DNA repair,3.34,0.0007717436799200971,10,3,DNA repair(3.34x); Chromatin(2.94x); Transcription(2.31x)
0x8B9C,2,135,9.0,15.0,135,18,52,Unclassified,0,1.0,0,0,
0x765F,2,505,34.3,14.7,505,56,124,Chromatin,5.52,3.497724535904635e-06,11,2,Chromatin(5.52x); Methylation(4.98x)
0x0650,2,153,10.4,14.7,153,12,39,Signaling,2.95,0.0036248634360803193,7,1,Signaling(2.95x)
0xC960,2,394,27.1,14.5,394,57,143,Cytoskeleton,6.35,0.0003431325783133289,6,1,Cytoskeleton(6.35x)
0x5B98,2,1348,93.4,14.4,1348,130,416,Chromatin,2.38,0.006560657812237552,11,1,Chromatin(2.38x)
0xA42A,2,127,8.8,14.4,127,34,56,Unclassified,0,1.0,0,0,
0xF62F,2,289,20.0,14.4,289,42,101,Kinase,5.72,2.920580199089012e-10,18,1,Kinase(5.72x)
0x356C,2,581,40.8,14.3,581,51,178,Cell adhesion,4.46,6.19266053112351e-05,10,1,Cell adhesion(4.46x)
0xCB9C,2,120,8.4,14.3,120,19,38,Cytoskeleton,9.52,0.003570249340324058,3,2,Cytoskeleton(9.52x); Transcription(2.3x)
0x8790,2,99,7.0,14.2,99,13,34,Unclassified,0,1.0,0,0,
0xE65E,2,117,8.3,14.1,117,18,44,Unclassified,0,1.0,0,0,
0xB56A,2,186,13.3,14.0,186,38,87,Transport,2.55,0.006913898740903581,9,1,Transport(2.55x)
0xF693,2,100,7.1,14.0,100,15,21,Cell adhesion,6.06,0.0034253237667307883,4,1,Cell adhesion(6.06x)
0xF5DF,2,724,52.3,13.9,724,113,224,Transcription,2.02,2.837614274463967e-07,47,2,Transcription(2.02x); Kinase(1.89x)
0xC96B,2,135,9.7,13.9,135,26,55,Unclassified,0,1.0,0,0,
0xC82C,2,244,17.6,13.9,244,34,84,Unclassified,0,1.0,0,0,
0xB568,2,812,58.8,13.8,812,115,285,Cytoskeleton,3.67,0.0029790422085970037,7,1,Cytoskeleton(3.67x)
0xA7DF,2,302,21.9,13.8,302,34,76,Cell adhesion,6.69,1.2452877784339795e-06,10,2,Cell adhesion(6.69x); Nuc acid bind(2.97x)
0xB7DB,2,240,17.5,13.7,240,36,100,Unclassified,0,1.0,0,0,
0x661C,2,69,5.1,13.6,69,22,43,Transcription,3.09,1.4083758311745791e-05,14,1,Transcription(3.09x)
0xCB25,2,553,40.6,13.6,553,59,142,Transcription,2.22,1.182312257095064e-05,27,1,Transcription(2.22x)
0x87D0,2,163,12.1,13.5,163,20,75,Cell adhesion,10.23,6.218893344260419e-08,9,1,Cell adhesion(10.23x)
0xB79E,2,75,5.6,13.5,75,12,43,RNA processing,7.41,0.006674969018832184,3,2,RNA processing(7.41x); Nuc acid bind(4.2x)
0x0A10,2,224,16.7,13.4,224,44,97,Cell adhesion,5.17,1.585590462593037e-05,10,1,Cell adhesion(5.17x)
0x8208,2,551,41.4,13.3,551,100,241,Chromatin,3.09,0.0008218645230504611,11,1,Chromatin(3.09x)
0x0450,2,108,8.1,13.3,108,20,37,Cytoskeleton,9.05,0.004149583128981454,3,1,Cytoskeleton(9.05x)
0x056E,2,81,6.1,13.2,81,14,33,Cell adhesion,6.49,0.0026013430519656274,4,1,Cell adhesion(6.49x)
0x8B25,2,570,43.5,13.1,570,62,160,Unclassified,0,1.0,0,0,
0x082E,2,258,19.7,13.1,258,46,106,Chromatin,3.67,0.005462301707976488,6,1,Chromatin(3.67x)
0x0A9B,2,124,9.5,13.1,124,14,23,Unclassified,0,1.0,0,0,
0x3450,2,240,18.3,13.1,240,17,54,Cell adhesion,5.35,0.005569677281807944,4,1,Cell adhesion(5.35x)
0x3560,2,660,50.8,13.0,660,82,225,Cell adhesion,3.05,0.0008795148390890477,11,1,Cell adhesion(3.05x)
0x09D5,2,891,68.3,13.0,891,151,455,Transcription,3.28,4.7397665490885894e-36,102,1,Transcription(3.28x)
0x7727,2,793,61.7,12.9,793,98,241,Chromatin,4.59,3.125662011812211e-07,16,2,Chromatin(4.59x); Transcription(2.03x)
0x0A20,2,857,67.1,12.8,857,123,332,Cytoskeleton,4.41,0.00020051466659540035,9,2,Cytoskeleton(4.41x); RNA processing(2.41x)
0xE450,2,187,14.6,12.8,187,27,51,Unclassified,0,1.0,0,0,
0xA790,2,127,9.9,12.8,127,24,50,Unclassified,0,1.0,0,0,
0x5B9C,2,430,33.5,12.8,430,66,159,Cytoskeleton,4.57,0.004675216328657807,5,1,Cytoskeleton(4.57x)
0x09D0,2,395,31.0,12.7,395,60,124,Chromatin,3.75,0.0012024919931369834,8,2,Chromatin(3.75x); Nuc acid bind(2.35x)
0xB79B,2,54,4.3,12.7,54,13,27,Unclassified,0,1.0,0,0,
0xE797,2,352,27.9,12.6,352,52,112,RNA processing,7.98,1.0573937101153956e-09,14,3,RNA processing(7.98x); Cytoskeleton(6.96x); Nuc acid bind(2.52x)
0x0568,2,326,26.1,12.5,326,55,115,Unclassified,0,1.0,0,0,
0x37DF,2,486,39.0,12.5,486,53,115,Nuc acid bind,2.28,0.004894194846804389,12,1,Nuc acid bind(2.28x)
0xB79C,2,75,6.0,12.5,75,13,26,Unclassified,0,1.0,0,0,
0xC85C,2,108,8.6,12.5,108,16,37,Cell cycle,6.75,0.009096856337793589,3,1,Cell cycle(6.75x)
0x25B2,2,2324,186.9,12.4,2324,213,684,Chromatin,3.17,5.37427064726076e-07,24,2,Chromatin(3.17x); Cell cycle(2.53x)
0xC96E,2,117,9.4,12.4,117,16,45,Unclassified,0,1.0,0,0,
0xA56F,2,312,25.1,12.4,312,39,102,Structural,5.32,0.006489644673689923,4,2,Structural(5.32x); Cell adhesion(4.08x)
0x372F,2,176,14.2,12.4,176,17,42,Unclassified,0,1.0,0,0,
0xF563,2,135,10.9,12.4,135,24,54,Unclassified,0,1.0,0,0,
0x779F,2,223,18.1,12.4,223,31,75,Unclassified,0,1.0,0,0,
0xCB98,2,289,23.4,12.3,289,26,82,Unclassified,0,1.0,0,0,
0x3567,2,572,46.4,12.3,572,61,174,Unclassified,0,1.0,0,0,
0x0727,2,91,7.4,12.3,91,13,27,Unclassified,0,1.0,0,0,
0x8450,2,129,10.5,12.3,129,25,57,Cell cycle,5.76,0.004662571471495536,4,2,Cell cycle(5.76x); Cell adhesion(5.46x)
0xD5BD,2,2935,240.8,12.2,2935,432,996,Phosphatase,2.17,0.005260164201905434,14,2,Phosphatase(2.17x); Cell adhesion(1.79x)
0x6C81,2,257,21.1,12.2,257,31,74,Transcription,2.04,0.0056379734188311,13,1,Transcription(2.04x)
0x5B90,2,723,59.5,12.2,723,91,243,Cell adhesion,2.75,0.002085806452157355,11,2,Cell adhesion(2.75x); Kinase(2.05x)
0xA563,2,247,20.2,12.2,247,27,56,Nuc acid bind,2.99,0.003633307119107968,8,1,Nuc acid bind(2.99x)
0x096F,2,126,10.3,12.2,126,11,31,Unclassified,0,1.0,0,0,
0x2669,2,947,77.7,12.2,947,152,504,Transcription,4.34,7.88430349713636e-76,136,1,Transcription(4.34x)
0x056C,2,172,14.2,12.1,172,19,57,Unclassified,0,1.0,0,0,
0x3723,2,146,12.0,12.1,146,24,47,Unclassified,0,1.0,0,0,
0x7793,2,149,12.3,12.1,149,16,60,Unclassified,0,1.0,0,0,
0xE72E,2,164,13.5,12.1,164,20,52,Unclassified,0,1.0,0,0,
0x0823,2,157,13.0,12.1,157,11,51,Chromatin,7.67,0.005946636778539999,3,1,Chromatin(7.67x)
0xF69C,2,168,14.0,12.0,168,30,59,Kinase,3.11,0.0057286383701455595,7,1,Kinase(3.11x)
0x772F,2,417,34.7,12.0,417,41,96,Chromatin,6.86,1.1973672318919157e-06,10,2,Chromatin(6.86x); Transcription(2.37x)
0x8963,2,136,11.3,12.0,136,18,47,Unclassified,0,1.0,0,0,
0x096B,2,130,10.8,12.0,130,24,57,Unclassified,0,1.0,0,0,
0xF567,2,439,36.5,12.0,439,75,150,Kinase,2.31,0.0035064745665655435,13,1,Kinase(2.31x)
0x0653,2,61,5.1,12.0,61,16,26,Unclassified,0,1.0,0,0,
0xC821,2,114,9.5,12.0,114,14,41,Unclassified,0,1.0,0,0,
0x0567,2,191,16.1,11.9,191,33,82,Unclassified,0,1.0,0,0,
0xE560,2,419,35.1,11.9,419,59,156,Chromatin,3.81,0.0010747884646957566,8,1,Chromatin(3.81x)
0xA69F,2,123,10.3,11.9,123,21,41,Nuc acid bind,3.36,0.003091057679527151,7,2,Nuc acid bind(3.36x); Transcription(3.24x)
0xC967,2,291,24.8,11.8,291,43,112,Cytoskeleton,5.61,0.0054437171486752004,4,1,Cytoskeleton(5.61x)
0xA69B,2,116,9.9,11.8,116,21,57,Unclassified,0,1.0,0,0,
0x8628,2,1919,162.7,11.8,1919,237,596,Chromatin,3.68,2.843310038648542e-10,31,3,Chromatin(3.68x); DNA repair(2.79x); Nuc acid bind(1.53x)
0xC5DC,2,104,8.8,11.8,104,15,40,Unclassified,0,1.0,0,0,
0x75D3,2,1093,93.8,11.7,1093,160,320,Cytoskeleton,4.52,1.3527679739892792e-05,12,2,Cytoskeleton(4.52x); Chromatin(3.34x)
0xA28A,2,2322,197.9,11.7,2322,311,862,Chromatin,2.89,5.7692171574734006e-08,32,3,Chromatin(2.89x); RNA processing(2.1x); Nuc acid bind(1.56x)
0x7567,2,1528,130.4,11.7,1528,190,531,Cytoskeleton,2.86,0.004354644404595724,9,3,Cytoskeleton(2.86x); Chromatin(2.07x); Kinase(1.69x)
0xE69A,2,210,18.0,11.7,210,42,73,Nuc acid bind,7.2,1.8229368100922946e-21,30,2,Nuc acid bind(7.2x); RNA processing(5.65x)
0xB69B,2,147,12.6,11.7,147,21,57,Unclassified,0,1.0,0,0,
0xE567,2,370,32.0,11.6,370,49,132,Cytoskeleton,7.39,0.00014751421047577012,6,2,Cytoskeleton(7.39x); Chromatin(4.02x)
0x3568,2,869,75.1,11.6,869,116,312,Cell adhesion,3.33,1.1718647038632914e-05,17,4,Cell adhesion(3.33x); DNA repair(2.48x); Chromatin(2.42x); Kinase(1.96x)
0x082A,2,150,13.0,11.6,150,22,44,Unclassified,0,1.0,0,0,
0x069A,2,89,7.7,11.6,89,15,32,Unclassified,0,1.0,0,0,
0x3650,2,487,41.9,11.6,487,67,177,Cell adhesion,5.43,2.1453211296102838e-08,16,1,Cell adhesion(5.43x)
0x0698,2,164,14.2,11.6,164,25,53,Cell adhesion,4.55,0.004124441888962604,5,1,Cell adhesion(4.55x)
0x1713,2,208,17.9,11.6,208,63,132,Transcription,4.78,7.099381041357536e-42,62,1,Transcription(4.78x)
0xF513,2,97,8.4,11.5,97,24,56,Transcription,4.65,2.8968648942162543e-15,23,1,Transcription(4.65x)
0xDCBD,2,1073,95.1,11.3,1073,151,323,Chromatin,2.79,0.0003057929278036566,15,3,Chromatin(2.79x); Kinase(2.12x); Transcription(1.64x)
0x8828,2,1441,127.6,11.3,1441,154,464,Chromatin,3.65,5.069978263515059e-07,20,4,Chromatin(3.65x); Cytoskeleton(3.13x); Structural(2.7x); RNA processing(2.5x)
0x8567,2,593,52.5,11.3,593,64,230,Signaling,1.74,0.0042943067583542955,22,1,Signaling(1.74x)
0x05D3,2,131,11.6,11.3,131,11,49,Unclassified,0,1.0,0,0,
0xA421,2,135,11.9,11.3,135,15,32,Unclassified,0,1.0,0,0,
0xE45E,2,56,5.0,11.3,56,10,18,Unclassified,0,1.0,0,0,
0x2082,2,2434,216.9,11.2,2434,330,771,Chromatin,3.84,4.090637921631744e-15,45,4,Chromatin(3.84x); RNA processing(2.87x); Cytoskeleton(2.56x); Nuc acid bind(1.56x)
0x085C,2,179,15.9,11.2,179,36,83,Transcription,3.24,2.8146032607581965e-09,24,1,Transcription(3.24x)
0x3593,2,96,8.6,11.2,96,19,56,Transcription,4.09,5.1158837073014044e-09,16,1,Transcription(4.09x)
0xE568,2,577,51.8,11.1,577,60,192,Cytoskeleton,5.03,0.003093462104815121,5,1,Cytoskeleton(5.03x)
0xF7DB,2,384,34.6,11.1,384,58,156,Cell adhesion,3.53,0.0008894698996921924,9,1,Cell adhesion(3.53x)
0x8568,2,939,84.9,11.1,939,116,278,Cytoskeleton,4.68,0.0001282425897341837,9,2,Cytoskeleton(4.68x); Cell adhesion(3.92x)
0x0A21,2,244,22.0,11.1,244,35,104,Kinase,3.05,0.0036679444908793665,8,1,Kinase(3.05x)
0xB65E,2,137,12.3,11.1,137,14,50,Nuc acid bind,3.6,0.00887262544453139,5,1,Nuc acid bind(3.6x)
